Jack T.D. 11 15000,00 09.05.2008
Jop J.J. 25 25000,23 02.02.2005
Matthew T.D. 12 15000,00 09.05.1983
Daniel T.D. 42 15000,00 09.05.2020
Robert T.D. 44 15000,00 09.05.1900
Joseph V.P. 21 15000,00 09.05.2000
Walter V.P. 33 15000,00 09.05.1904
David P.K 66 15000,00 09.05.2014
James K.P. 70 15000,00 09.05.1850
Aaron K.P. 88 15000,00 09.05.1958
Bob K.K. 15 60000,20 09.05.2001
Lewis K.K. 22 15000,00 09.05.2003
Darrell M.P. 77 15000,00 09.05.1960
Jose D.K. 100 15000,00 09.05.1973
Philip J.T. 15 15000,00 09.05.1895
Anthony P.F. 33 15000,00 09.05.2000
David A.A. 12 15000,00 09.05.2001
William E.E. 44 15000,00 09.05.2002
Ralph T.G. 10 15000,00 09.05.2003
Michael K.A. 2  0,22 09.05.2004
